CHARTER,REG,ASSET,DEP,TYPE
NM,MIDWESTERN,111239,101884,FAILURE
NM,SOUTHERN,135688,134005,FAILURE
NM,MIDWESTERN,100659,102463,FAILURE
SM,MIDWESTERN,3172915,2420738,FAILURE
NM,WESTERN,120246,113243,FAILURE
SM,WESTERN,335798,291173,FAILURE
NM,MIDWESTERN,31996,31969,FAILURE
NM,SOUTHERN,242871,230190,FAILURE
NM,MIDWESTERN,195510,162816,FAILURE
NM,OTHER,5681177,4220108,FAILURE
NM,OTHER,10797345,8420357,FAILURE
SI,MIDWESTERN,1599122,1418445,FAILURE
NM,OTHER,2453138,1861350,FAILURE
NM,WESTERN,3250734,2846886,FAILURE
N,MIDWESTERN,52204,43635,FAILURE
NM,MIDWESTERN,441694,448917,FAILURE
NM,MIDWESTERN,447239,438999,FAILURE
NM,MIDWESTERN,73490,72772,FAILURE
SI,MIDWESTERN,194618,162627,FAILURE
NM,MIDWESTERN,1059194,1023421,FAILURE
NM,MIDWESTERN,130165,124676,FAILURE
N,MIDWESTERN,3066240,2743485,FAILURE
NM,SOUTHERN,104034,100070,FAILURE
NM,MIDWESTERN,49173,48622,FAILURE
NM,WESTERN,611504,457206,FAILURE
SB,SOUTHERN,440122,369617,FAILURE
SI,NORTHEASTERN,245534,227420,FAILURE
N,SOUTHERN,3393818,2724475,FAILURE
NM,WESTERN,266816,223164,FAILURE
NM,WESTERN,981913,919606,FAILURE
N,SOUTHERN,590024,521138,FAILURE
NM,SOUTHERN,363405,343339,FAILURE
NM,WESTERN,496552,426473,FAILURE
SB,SOUTHERN,88031,67662,FAILURE
N,SOUTHERN,300590,264286,FAILURE
NM,SOUTHERN,96535,93967,FAILURE
NM,SOUTHERN,1010075,917575,FAILURE
NM,WESTERN,1525931,1519471,FAILURE
NM,SOUTHERN,137175,131117,FAILURE
N,MIDWESTERN,70318,66752,FAILURE
NM,SOUTHERN,377779,339597,FAILURE
NM,MIDWESTERN,28159,27801,FAILURE
SM,SOUTHERN,336390,319746,FAILURE
NM,SOUTHERN,243215,207821,FAILURE
NM,NORTHEASTERN,520146,494505,FAILURE
NM,NORTHEASTERN,216500,209477,FAILURE
SB,SOUTHERN,155566,156188,FAILURE
NM,WESTERN,212839,205076,FAILURE
SM,SOUTHERN,535724,443481,FAILURE
SM,MIDWESTERN,211711,198487,FAILURE
NM,WESTERN,51095,50024,FAILURE
SI,WESTERN,717806,446192,FAILURE
SM,SOUTHERN,119578,117097,FAILURE
SB,WESTERN,3646071,2799362,FAILURE
SI,MIDWESTERN,413673,395310,FAILURE
N,SOUTHERN,53936,49275,FAILURE
NM,MIDWESTERN,18155,16327,FAILURE
NM,WESTERN,2082684,1664450,FAILURE
NM,WESTERN,329246,287443,FAILURE
N,SOUTHERN,840633,780196,FAILURE
N,MIDWESTERN,58566,55662,FAILURE
NM,SOUTHERN,1181717,1067957,FAILURE
NM,SOUTHERN,835701,776556,FAILURE
NM,SOUTHERN,299225,285554,FAILURE
SB,WESTERN,1201922,859933,FAILURE
NM,WESTERN,955112,908132,FAILURE
NM,WESTERN,395980,340378,FAILURE
NM,MIDWESTERN,20128,20335,FAILURE
NM,MIDWESTERN,70758,68323,FAILURE
NM,MIDWESTERN,22895,23912,FAILURE
SM,WESTERN,709171,697109,FAILURE
NM,WESTERN,1188956,1049063,FAILURE
NM,SOUTHERN,294024,291707,FAILURE
SB,SOUTHERN,1464127,1163916,FAILURE
SB,SOUTHERN,1795420,1684443,FAILURE
SB,WESTERN,6143903,4538607,FAILURE
SM,MIDWESTERN,585508,511473,FAILURE
NM,WESTERN,4046888,2822300,FAILURE
NM,MIDWESTERN,168551,157149,FAILURE
N,WESTERN,40270,41312,FAILURE
N,SOUTHERN,433011,352695,FAILURE
SM,MIDWESTERN,511103,421271,FAILURE
NM,SOUTHERN,856236,813668,FAILURE
SB,SOUTHERN,203262,179248,FAILURE
SB,MIDWESTERN,11438990,8558609,FAILURE
